state,STATE_NAME,category,abr,job_post,color
,,QLD,,,
QLD,Queensland,Management and Commerce,M&C,1518.0,0.91
QLD,Queensland,Health,H,247.0,0.82
QLD,Queensland,Engineering,EN,247.0,0.73
QLD,Queensland,Society and Culture,S&C,242.0,0.64
QLD,Queensland,Food and Hospitality,F&H,190.0,0.55
QLD,Queensland,Architecture and Building,A&B,184.0,0.45
QLD,Queensland,Information Technology,IT,160.0,0.36
QLD,Queensland,Education,ED,94.0,0.27
QLD,Queensland,Natural and Physical Sciences,N&P,20.0,0.18
QLD,Queensland,Agriculture and Environment,A&E,16.0,0.09
QLD,Queensland,Creative Arts,CA,14.0,0.0
